contig 	 read_length
NM_002276.5	1335
*	608
NM_001317086.2	1601
NM_003904.5	1
NM_003904.5	686
NM_001317086.2	1
NR_038123.2	815
NM_002788.4	1
NM_152132.3	1
NM_001004689.2	2014
NM_001297625.2	1
NM_001297624.2	1
NM_144684.4	1
NM_001324322.2	1
NR_136739.2	1
NR_002315.1	902
NM_001379046.1	1
NM_001379047.1	1
NM_001379045.1	1
NM_002107.7	1
NM_001379043.1	1
NM_001201479.2	1070
*	770
NR_046235.3	531
NR_003286.4	1
*	1169
NM_001190452.2	376
NM_001190487.2	1
NM_001190708.2	1
NM_001190702.2	1
NM_001320220.2	1282
NM_001320222.2	1
NM_001320219.2	1
NM_001080415.2	1
*	198
NM_001043318.3	2609
NM_194278.3	1
NM_001367710.1	1
NM_194278.3	1080
NM_001367710.1	1
NM_001043318.3	1
*	829
*	265
NM_014597.5	701
NM_005431.2	1
NM_015693.4	1
NM_031292.5	1
NM_001098614.3	1
NM_001271826.2	1
NM_001190702.2	963
NM_001286782.1	2464
NM_052937.4	1
NM_001286783.2	1
NR_003287.4	1747
NR_046235.3	1
NM_003329.4	1018
NM_001244938.2	1
NM_003329.4	371
*	259
NM_001171510.3	1051
NM_139279.6	1
NM_001171508.2	1
NM_001171507.2	1
NM_003937.3	1
NM_001199241.2	1
NR_003286.4	1870
NR_046235.3	1
*	511
*	393
NR_046235.3	1192
NR_003287.4	1
NM_000740.4	1431
NR_134559.1	1
NR_038883.2	1
NR_125766.1	1
*	321
*	1068
NM_006809.5	1934
NM_178860.5	1293
NM_001290202.2	1
NM_001098635.2	1
NM_001357.5	6420
NR_033302.2	1
NR_047469.1	988
NM_152367.3	1
NR_126435.1	1
NR_164310.1	1
NR_164308.1	1
NR_002728.3	1
*	1195
*	1364
NM_006026.4	1133
*	1687
*	309
NR_046235.3	1084
NR_003287.4	1
*	1581
NM_001190470.2	1039
NM_001190470.2	287
NM_001190702.2	1
*	455
NM_014320.3	843
NM_001326380.2	1
NR_003286.4	426
NR_046235.3	1
NM_001190470.2	396
NM_001190702.2	1
*	410
*	318
*	196
*	204
NR_003286.4	1716
NR_046235.3	1
*	306
*	3134
*	1360
NM_001190470.2	394
NM_001190702.2	1
NM_001190470.2	162
*	402
*	290
*	900
NM_002809.4	1050
NM_015088.3	2598
NM_001162501.2	1
NM_015693.4	263
*	409
NM_001011.4	1131
NM_001011.4	215
NM_000981.4	449
NM_001330200.1	1
NM_001190470.2	1606
NM_001190702.2	1
NM_001190470.2	702
NM_001190702.2	1
NM_001190452.2	881
NM_001190708.2	1
NM_001190487.2	1
NM_001190702.2	1
*	1011
*	541
NM_001387344.1	264
NM_001387341.1	1
NM_001360552.2	1
NM_004643.4	1
NM_001387340.1	1
NM_001387346.1	1
NR_046235.3	437
NR_003287.4	1
*	768
*	1085
NR_003287.4	650
NR_046235.3	1
NM_000978.4	614
*	845
*	1813
NR_046235.3	1276
NR_003286.4	1
NM_004329.3	650
NR_046235.3	219
NR_003287.4	1
*	1345
*	236
NR_047469.1	2092
NR_002728.3	1
NM_001322814.2	1
NM_000636.4	1
NM_001322815.2	1
NM_152318.3	1
NM_001190470.2	649
*	2523
NM_001122821.2	1709
NM_001248000.2	1
NM_001248001.2	1
NM_003011.4	1
NM_001374326.1	1
NM_001190470.2	785
NM_001190702.2	1
NM_001190470.2	139
NM_002333.4	263
NM_019849.3	1
*	2685
NM_001402.6	426
*	662
NM_015449.4	1522
NM_001098616.3	1
NM_138740.4	1
NM_001297720.2	1
NM_001297718.2	1
NM_001297717.2	1
NM_001098844.3	891
NR_046235.3	636
NR_003287.4	1
*	825
NM_021029.6	659
NM_021029.6	133
NM_001001.5	1
*	562
NM_001135750.2	1646
*	237
NM_001287060.2	827
NM_001367746.1	1
NM_001329564.2	633
NM_032367.4	1
*	496
NM_000982.4	873
NR_026911.1	1
*	1684
NR_003287.4	478
NR_046235.3	1
NM_001207.5	1031
NM_001037637.2	1
*	1431
*	3282
NR_046235.3	414
NR_003286.4	1
NR_003287.4	2621
NR_046235.3	1
*	1765
*	1125
NM_001023.4	808
NM_001146227.3	1
NM_001023.4	135
NM_020673.3	1985
NM_020673.3	713
*	614
NR_003287.4	961
NR_046235.3	1
*	381
NM_001276310.2	1283
NR_075070.2	1
NM_015894.4	1
NM_001018138.1	1265
NM_002512.4	1
NM_001018139.2	1
NR_037149.2	1
NM_001018136.3	1
NM_001018137.3	1
NM_001018139.2	537
NR_026713.1	2459
NR_026714.2	1
NR_003927.2	217
NR_026714.2	165
NR_026713.1	1
NR_026713.1	131
NR_026714.2	1
NR_026731.1	1483
NM_001145678.3	1
NM_001385712.1	1
NM_001178129.2	1
NM_012431.3	1
NM_004329.3	1
*	675
*	1081
*	945
*	2632
*	2410
*	214
NM_012423.4	1123
NR_073024.2	1
NM_001270491.2	1
*	1904
*	801
*	345
NR_003286.4	804
NR_046235.3	1
NR_046235.3	453
NR_003287.4	1
NM_016586.3	2629
NM_001144891.2	1
NM_001308110.2	1
NM_001190702.2	710
NM_001190470.2	1
NM_002765.5	662
NM_001039091.3	1
*	4566
*	501
NM_001009552.2	1860
NM_181845.2	2390
NM_001297752.2	1
*	931
NM_001190702.2	713
NM_001190470.2	1
NM_000224.3	1299
NM_199187.2	1
NR_034089.1	1726
NR_033886.1	1
NM_001144984.3	1
NM_001198908.2	1
NM_001144982.3	1
NM_001144983.3	1
NM_031500.3	2076
NM_001004462.2	1
NM_018374.4	1
NM_001134232.2	1
NM_001329994.2	1
NM_001329993.2	1
NM_001370514.1	941
NM_001370511.1	1
NM_001370517.1	1
NM_001370512.1	1
NM_001370513.1	1
NM_001370516.1	1
NR_003287.4	471
NR_046235.3	1
NR_003286.4	1023
NR_046235.3	1
NR_003287.4	1286
NR_046235.3	1
*	757
NM_001025231.2	1672
NM_001362843.2	2345
NM_001429.4	1
NM_001429.4	124
NM_001362843.2	1
*	491
*	1175
*	879
*	473
*	364
NR_073405.1	2443
NR_046235.3	819
NR_003287.4	1
NR_046235.3	1421
NR_003287.4	1
*	854
*	267
*	1130
NR_046235.3	1082
*	183
NR_003286.4	1254
NR_046235.3	1
*	336
*	802
*	888
*	730
*	1308
*	291
*	416
NM_001330399.2	877
NM_001100595.2	1
NM_182620.4	1
*	558
NM_152729.3	876
NM_152729.3	267
NM_001142401.3	3559
NM_001346500.2	1
NM_001142402.3	1
NM_006016.6	1
NM_001142404.3	1
NM_001142403.3	1
NM_001346500.2	1616
NM_001190470.2	216
NM_001190702.2	1
NM_001286431.2	7634
*	949
NM_024652.6	669
NR_027122.1	1
NM_021103.4	170
NR_046235.3	909
NR_003287.4	1
*	883
*	983
NM_001013.4	872
NM_001321701.2	1
NR_135763.2	1
NM_001321704.2	1
NR_135762.2	1
NM_001321702.2	1
NR_135763.2	99
NM_000056.5	4526
NM_183050.4	1
NR_134945.2	1
NM_001318975.1	1
NM_183050.4	309
NM_000056.5	1
NR_134945.2	1
*	2166
*	881
NR_003287.4	373
NR_046235.3	1
NM_020375.3	937
*	2378
NM_021130.5	1060
NM_001300981.2	1
NM_021130.5	99
NM_001300981.2	1
NM_001190470.2	390
NM_001190702.2	1
NM_001190470.2	652
NM_001190702.2	1
NM_001190470.2	181
NM_001190452.2	1
NM_001145204.3	704
NM_152400.3	1
NM_001113523.3	1
NM_001308320.2	1
NM_001365790.2	1
NM_001109997.3	1
*	339
*	698
NM_016395.4	427
*	329
NR_003286.4	639
NR_046235.3	1
*	492
NM_001190702.2	741
NM_001190702.2	281
*	366
NR_046235.3	1418
NR_003286.4	1
NR_003287.4	1551
NR_046235.3	1
NR_046235.3	1440
NR_003287.4	1
NM_001190470.2	230
NM_001017963.3	1462
NM_005348.4	1
*	632
*	1610
NR_003286.4	382
NR_046235.3	1
*	524
*	294
NM_001190470.2	1009
NM_001190702.2	1
*	937
*	570
NR_003287.4	307
NR_046235.3	1
*	2365
*	1949
*	264
NR_003287.4	1449
NR_046235.3	1
*	339
NM_001145713.2	1367
NM_001145714.2	1
NM_005500.3	1
NR_027280.2	1
*	1230
*	529
NR_046235.3	208
NR_003287.4	1
*	3044
*	1316
NM_001136479.3	390
NM_001280560.2	1
NM_030920.5	1
NM_001136478.4	1
NM_001280559.2	1
NM_001136479.3	44
NM_001280560.2	1
NM_001387270.1	2465
NM_001164436.2	368
NM_001345874.2	1
NM_001345875.2	1
NM_001345871.2	1
NM_001010851.3	1
NM_001330332.2	1
*	730
*	1160
NM_033395.2	580
*	936
*	545
*	302
*	1106
NM_015270.5	335
NR_003287.4	369
NR_046235.3	1
*	227
*	969
*	234
NM_000978.4	865
NM_001318064.1	239
NM_001318065.1	1
NM_001033.5	1
NM_001330193.1	1
NM_001353139.2	1735
NM_001353137.2	1
NM_199139.4	1
NM_001353136.2	1
NM_017523.5	1
NR_110765.1	1
*	903
NM_001378441.1	364
NM_017641.4	1
NM_001173463.2	1
NM_001378439.1	1
NM_001173464.2	1
NM_001173465.2	1
*	229
*	745
*	668
NM_145173.4	268
NM_000551.4	261
NM_198156.3	1
NM_001354723.2	1
NM_004725.4	1871
NR_170931.1	1
NM_001164479.2	1
NR_170930.1	1
NR_003286.4	1879
NR_046235.3	1
*	353
*	1830
NM_001008564.2	1563
NM_014089.4	1
*	589
*	242
*	1507
NM_152400.3	769
NR_110257.1	1
NM_002908.4	1
NM_001291746.2	1
NR_126435.1	1
NM_013940.4	1
NM_001004686.3	316
NR_046235.3	1850
NR_003287.4	1
*	349
NM_004152.3	1209
NM_001301020.1	1
NR_144568.1	2197
NR_144567.1	1
NR_145459.1	1
NR_002819.4	1
NR_002819.4	848
NR_144567.1	1
NR_145459.1	1
NM_012138.4	2127
*	642
*	674
*	2646
NM_001190470.2	386
NM_001190702.2	1
NM_001190470.2	159
*	870
*	350
NM_005564.5	2480
NM_005564.5	118
*	499
NM_004927.4	1235
NR_037568.2	1
NR_037567.1	1
*	276
*	1904
NM_000636.4	607
NM_001322819.2	1
NM_001322814.2	1
NM_001322815.2	1
NM_001322820.2	1
NM_030946.2	1
*	243
NM_006396.3	276
NM_001303024.2	1
*	660
NM_001159575.2	1260
NM_001159576.2	1
NM_001038.6	1
*	930
NR_003287.4	1016
NR_046235.3	1
*	1451
*	850
NR_046235.3	1285
NR_003286.4	1
*	1460
NR_046235.3	1563
NR_003286.4	1
NR_003286.4	1289
NR_046235.3	1
*	845
*	769
*	3665
NM_001190470.2	529
NM_001190702.2	1
NM_001313893.1	2846
NM_001313892.2	1
NM_001370341.1	1
NM_001370340.1	1
NM_002128.7	1
NM_001363661.2	1
NM_152367.3	8912
NM_152400.3	1
NM_001366306.2	1
NM_001366305.2	1
NM_001366307.2	1
NR_126435.1	1
NM_001366305.2	526
NR_047679.1	751
NM_001317205.2	1522
NM_001317202.2	1
NM_001317208.2	1
NM_001317200.2	1
NM_001317211.2	1
NM_016463.9	1
*	579
*	328
NM_001190470.2	661
NM_001190702.2	1
*	528
NM_152318.3	1728
NM_002031.3	1
NM_024813.3	1
NR_135060.2	77
*	1569
NM_006284.4	284
*	418
*	1594
*	567
NR_046235.3	788
NR_003286.4	1
NR_003286.4	827
NR_046235.3	1
NR_003286.4	362
NR_046235.3	1
NM_020320.5	2346
NR_134857.2	1
NM_001350507.2	1
NM_001350505.2	1
NM_001350510.2	1
NR_146748.2	1
*	995
*	548
NM_021009.7	413
*	617
*	1130
NR_046235.3	362
NR_003286.4	1
*	610
*	736
*	664
NM_006645.3	1284
NM_001007022.3	4059
NM_001366783.1	1
NM_003937.3	1
NM_001199241.2	1
NR_029405.1	1
NM_014597.5	1
NM_014597.5	1056
NR_003287.4	1524
NR_046235.3	1
*	1253
NM_001190470.2	666
NM_001190702.2	1
NM_001285439.2	3325
NM_001285440.2	1
NM_152756.5	1
NM_001285439.2	1492
NM_001285440.2	1
NM_152756.5	1
*	242
NM_002865.3	3091
NM_001242644.1	1
NM_002865.3	1359
NM_001242644.1	1
NM_001282278.2	3355
NM_001194954.2	1
NM_018834.6	1
NM_001194955.2	1
NM_199189.3	1
NM_001194956.2	1
NM_001037738.3	2440
NM_001355009.2	1
NM_001037738.3	973
NM_001355009.2	1
*	483
*	313
NR_003287.4	871
NR_046235.3	1
NR_003286.4	1254
NR_046235.3	1
NR_003287.4	1598
NR_046235.3	1
NM_001190470.2	1015
NM_001190470.2	471
NR_003287.4	688
NR_046235.3	1
NM_133259.4	2557
NM_133259.4	907
*	4501
NM_005620.2	615
NM_002921.4	572
NM_001012722.2	1
NM_001012720.2	1
NR_034022.1	1
*	2948
*	968
*	855
*	504
NR_003287.4	384
NR_046235.3	1
NM_020729.3	2052
NM_001007022.3	1
NM_001366783.1	1
NM_015693.4	404
NM_001386104.1	1
NM_014565.3	1
NR_125837.1	1
NM_022156.5	872
NM_001190470.2	270
NM_001190702.2	1
*	1568
NM_004052.3	1582
*	3389
NR_003287.4	1048
NR_046235.3	1
NR_003104.2	213
NR_003103.2	1
NR_003102.2	1
NM_001042594.2	1
NM_015450.3	1
NM_024050.6	1685
NR_046235.3	1446
NR_003286.4	1
NR_144568.1	339
NR_145459.1	1
NR_002819.4	1
NR_144567.1	1
*	524
*	263
*	429
NM_001085365.2	632
*	998
NM_001190470.2	271
NM_006819.3	3766
NM_001282652.2	1
NM_001282653.2	1
*	1078
NM_148170.5	1945
NM_001114173.3	1
NR_147244.2	770
NR_047469.1	559
*	292
*	742
*	218
NM_001375465.1	417
NM_001375461.1	1
NM_001375462.1	1
NM_001145204.3	1
NM_014911.5	1
NM_001371575.1	1
NM_001098614.3	1500
NM_001098615.2	1
NM_031292.5	1
NM_001297625.2	1
NM_144684.4	1
NM_001297624.2	1
*	835
*	292
NM_015335.5	1309
*	1881
NM_000981.4	982
NM_001330200.1	1
NM_000981.4	205
NM_001330200.1	1
*	1771
NM_005063.5	615
NM_005063.5	125
NR_003287.4	1056
NR_046235.3	1
*	350
NR_046235.3	1284
*	2391
*	592
NR_046235.3	1195
NR_003287.4	1
NM_001083614.2	2123
NR_003501.2	1
*	2361
*	451
NR_046235.3	982
NR_003287.4	1
NR_046235.3	1052
NR_003287.4	1
*	1307
*	1954
*	344
*	655
*	2680
NR_003287.4	2372
NR_046235.3	1
NM_001005.5	312
NM_001260507.2	1
NM_001190470.2	590
NM_001190702.2	1
NM_001190452.2	1
*	1200
NM_170783.4	1393
NM_001278786.2	1
NM_014596.6	1
NM_001278785.2	432
NM_001278786.2	1
NM_014596.6	1
NM_170783.4	1
*	833
NR_003287.4	1237
NR_046235.3	1
NM_003440.4	909
NM_001300778.2	1
NM_001300777.2	1
*	562
*	1736
*	337
NM_001319232.2	321
NM_001319236.2	1
NM_001319234.1	1
NM_001319235.2	1
NM_033625.4	1
NM_000995.5	1
NR_046235.3	1856
*	715
*	315
NM_000978.4	486
NM_006842.3	1033
NM_006842.3	68
NR_046235.3	246
NR_003287.4	1
*	1278
*	603
NR_024052.2	672
NR_102327.1	1
NR_024053.2	1
NR_102326.1	1
*	649
NM_001190470.2	747
NM_001190702.2	1
*	435
*	759
*	867
NR_003287.4	1004
NR_046235.3	1
*	1241
*	628
NM_001136498.2	714
NR_110804.1	260
NR_130935.1	1083
NM_001308043.2	1
NM_015547.4	1
*	539
*	1599
NR_003287.4	1992
NR_046235.3	1
NR_046235.3	403
NR_003287.4	1
*	740
NM_025075.4	503
NM_001285387.3	1
NM_001285404.2	1
*	420
NM_001346030.2	1783
NR_144347.2	1
NR_144348.2	1
NM_015693.4	1
NM_173348.2	132
NM_001164182.2	2634
NM_001776.6	1
NM_001312654.1	1
NM_001098175.2	1
NM_001164179.2	1
NM_001164183.2	1
NR_002728.3	4581
NM_001322820.2	1
NM_000636.4	1
NM_001322819.2	1
NM_001322815.2	1
NM_001322814.2	1
NR_002728.3	646
*	1227
*	3138
NR_046235.3	493
NR_003287.4	1
NM_213602.3	935
NR_003287.4	1766
NR_046235.3	1
*	383
NM_152595.5	1300
NM_001142282.2	816
NM_033022.4	1
NM_001142284.2	1
NM_001142283.2	1
NM_001026.5	1
NM_001142285.2	1
NM_025029.5	370
NM_001085365.2	1
NM_001330282.2	1
NM_001330284.2	1
*	216
NM_001331026.2	4149
NM_182977.3	1
NM_012343.4	1
NM_032522.5	1
NR_029405.1	1
NM_001367360.2	1
NM_021029.6	370
NR_104627.2	208
NM_002449.5	1444
NM_001363626.2	1
NR_046235.3	3095
NR_003287.4	1
*	710
*	476
NM_014175.4	1082
*	2333
NR_002728.3	828
NR_145975.1	1
NR_145973.1	1
NR_145974.1	1
NR_110456.2	1
NM_001322820.2	1
*	369
*	295
NM_012459.4	432
NR_160400.1	1
NR_028383.2	1
*	2764
*	283
*	883
NR_046235.3	1721
NR_003286.4	1
NR_003286.4	514
NR_046235.3	1
*	2431
NM_001190470.2	493
NM_003290.3	2465
NM_001367836.1	1
NM_001145160.2	1
NM_001367838.1	1
NR_135100.2	5402
NR_027253.1	782
NM_023080.3	452
NR_024173.1	1
NR_024172.1	1
NM_001371459.1	1
NM_001371472.1	1
NM_001371468.1	1
NM_000690.4	84
NR_046235.3	1768
NR_003286.4	1
NR_003287.4	868
NR_046235.3	1
*	619
NM_001283049.2	3317
NM_001128610.3	1
NM_005154.5	1
NR_003287.4	1059
NR_046235.3	1
NR_144568.1	749
NR_144567.1	1
NR_002819.4	1
NM_001370209.1	648
NM_032875.3	1
NM_001370208.1	1
NM_001184906.2	1
NM_022371.4	2334
NM_152367.3	340
NM_002908.4	1
NM_001291746.2	1
NR_125368.1	1
NM_020729.3	1
NM_014465.4	1
NM_001190702.2	791
NM_001190470.2	1
NM_017858.3	887
NM_017858.3	254
NM_024652.6	570
*	1258
NM_001190702.2	1349
NM_001190702.2	127
NM_001190470.2	1
*	416
*	557
NM_002591.4	1017
*	857
NM_000981.4	1334
NM_001330200.1	1
NM_001330200.1	571
NM_000981.4	1
*	400
*	930
*	258
*	361
*	2770
NR_046235.3	411
NR_003286.4	1
*	1484
*	560
*	313
*	2943
*	1285
NM_001686.4	3167
NM_001686.4	1104
NR_046235.3	880
NR_003287.4	1
NM_198488.5	566
NM_014798.3	1293
NM_001352825.2	1
NR_027782.2	1
*	1407
NM_013411.5	1733
NM_001319139.3	1
NM_001319141.3	1
NM_001199199.3	1
NR_134976.3	1
NM_001319142.3	1
NR_003287.4	706
NR_046235.3	1
*	308
*	234
*	1219
NM_001378195.1	5333
NM_001378191.1	1
NM_001378201.1	1
NM_001128929.3	1
NM_001378203.1	1
NM_001378196.1	1
*	941
NR_046235.3	606
NR_003286.4	1
NM_001190487.2	855
NM_001190702.2	1
NM_001160147.2	2018
NM_001142703.2	1
NM_198947.4	1
NM_001142704.2	1
NM_001004728.2	1
NR_135515.1	1
*	3647
*	503
NM_001322814.2	3046
NM_001322815.2	1
NM_001322819.2	1
NM_001322820.2	1
NM_000636.4	1
NR_002728.3	1
*	1292
*	1396
NR_003287.4	1655
NR_046235.3	1
NR_046235.3	112
NR_003287.4	1
*	725
NM_183353.3	3782
NM_016120.4	1
NM_016120.4	1702
NM_183353.3	1
*	536
NR_002819.4	870
NR_144568.1	1
NR_144567.1	1
*	814
*	4996
NM_152367.3	445
NM_001377274.1	1
NM_020297.4	1
NM_005691.4	1
NM_001377273.1	1
NR_126435.1	1
*	963
*	1587
*	807
*	292
NM_001353136.2	3766
NM_001353134.2	1
NR_046398.3	1
NM_199139.4	1
NM_001353138.2	1
NM_017523.5	1
NM_152367.3	813
NM_030939.5	1075
*	269
*	810
NM_001355197.2	3720
NR_145973.1	1
NR_110456.2	1
NR_145974.1	1
NR_145975.1	1
NM_024813.3	1
NM_182739.3	892
NM_002493.5	1
NM_001199987.2	1
NM_001084.5	1807
*	2112
NR_003287.4	348
NR_046235.3	1
*	220
*	513
NR_046235.3	675
NR_003287.4	1
NR_003287.4	1523
NR_046235.3	1
NM_001024218.2	3053
NM_001377514.1	1
NM_001377517.1	1
NM_001377518.1	1
NM_001377516.1	1
NM_001377515.1	1
NR_003286.4	592
NR_046235.3	1
NR_003286.4	83
NR_046235.3	1
*	525
*	1177
NR_138095.2	952
NR_046235.3	289
NR_003286.4	1
*	1548
NM_001382793.1	1213
NM_001382801.1	1
NM_001382797.1	1
NR_110535.2	1
NM_001382783.1	1
NM_001382806.1	1
NM_001203258.2	1000
NM_004689.4	1
*	1050
NM_001190470.2	501
NM_001190702.2	1
NM_001190470.2	125
NM_001190702.2	1
NM_001190452.2	1
*	195
NR_033192.1	1875
NM_014167.5	1
NR_033192.1	795
*	321
*	1059
*	1185
NM_002948.5	897
NM_001253379.2	1
NM_001253383.3	1
NM_001253380.2	1
NM_001253382.2	1
*	1126
*	295
NM_001190702.2	329
NM_001190470.2	1
NM_024106.3	609
NM_001318055.2	1
NM_001300883.3	1
NM_024106.3	147
NM_001318055.2	1
NM_001300883.3	1
NM_001318056.2	1
NR_003287.4	1284
NR_046235.3	1
*	330
NR_046235.3	606
NR_003287.4	1
NM_002908.4	469
NM_001291746.2	1
NM_001004686.3	1
NM_001385855.1	1
NM_152367.3	1
NR_125368.1	1
*	847
NM_024652.6	205
NR_027122.1	1
NR_146104.1	1073
NM_005937.4	1331
NM_005937.4	264
NM_001190702.2	1170
NM_001190708.2	1
NM_001190708.2	240
NM_001190472.2	1
NM_001190452.2	1
NM_001190487.2	1
NM_001190702.2	104
*	1286
NM_001351018.2	671
NM_001351019.2	1
NM_001351020.2	1
NM_022916.6	1
*	1946
*	262
*	478
NR_003287.4	1059
NR_046235.3	1
*	723
*	309
*	1486
NM_005455.5	3650
NM_203350.3	1
NM_005455.5	1050
NM_203350.3	1
*	335
*	495
NM_152318.3	3934
NM_001322820.2	1
NM_001322815.2	1
NM_001322819.2	1
NM_024813.3	1
NM_001137671.2	1
NR_046235.3	1506
NR_003287.4	1
NR_046235.3	1119
NR_003286.4	1
NM_000983.4	892
NM_000983.4	322
*	369
*	339
NR_003287.4	2118
NR_046235.3	1
NM_014999.4	2529
NM_014999.4	795
NM_001363669.2	2177
NM_001363670.2	1
NM_006888.6	1
*	329
NR_046235.3	521
NR_003286.4	1
*	358
*	395
NR_046235.3	2835
NR_003286.4	1
NR_003286.4	1429
NR_046235.3	1
NR_046235.3	463
NR_003287.4	1
NR_046235.3	250
NR_003287.4	1
*	838
*	333
NR_046235.3	1677
NR_003287.4	1
*	1875
*	400
NR_046235.3	1732
NR_003287.4	1
NR_003287.4	980
NR_046235.3	1
NM_201522.3	545
NM_138343.4	1
NM_001289035.2	1
NM_201521.3	1
NM_201523.3	1
NM_001289034.2	1
*	1275
NM_006791.4	3038
NM_206839.3	1
NM_001265605.2	1
NM_001265604.2	1
NM_001265603.2	1
NM_006791.4	1251
NM_001265605.2	1
*	264
NM_002204.4	1395
*	1031
NM_001028.3	755
*	1368
*	1515
*	334
*	694
NM_021061.5	739
NM_001363103.2	1
NM_001363098.2	1
NM_001363104.2	1
NM_001363101.2	1
NM_001363106.2	1
*	295
NM_001242676.2	1276
NM_001242673.2	1
NM_001242675.2	1
NM_001242674.2	1
NM_006621.7	1
NM_001190470.2	1042
NM_001190470.2	352
*	1598
*	279
NM_001352259.2	4267
NM_001352236.2	1
NM_001352249.2	1
NR_147936.2	1
NR_147935.2	1
NR_147934.2	1
NM_001352259.2	669
NM_001257344.2	1404
NM_001079866.2	1
NM_001371443.1	1
NM_001371444.1	1
NM_001371450.1	1
NM_004328.5	1
*	286
NM_130464.3	2677
NM_001135865.2	1
NM_001384982.1	1
NM_001310148.2	1
NM_001384979.1	1
NM_001321892.1	1
NM_130464.3	440
NR_003287.4	2503
NR_046235.3	1
*	260
*	1319
*	1156
*	1508
NM_000983.4	979
NM_000983.4	312
NM_015693.4	316
NR_029426.1	1
NR_046369.1	1
NR_046370.1	1
NM_012321.5	1026
NM_001252129.2	1
*	782
*	951
*	827
NR_046235.3	1608
NR_003286.4	1
NM_145690.3	1021
NM_001135702.2	1
NM_001135699.2	1
NM_001135700.2	1
NM_003406.4	1
NM_001135701.2	1
NR_003286.4	642
NR_046235.3	1
NR_046235.3	281
NR_003286.4	1
*	580
NM_003746.3	961
NM_001037495.2	1
NM_001037494.2	1
NM_001037494.2	162
NM_001037495.2	1
NM_003746.3	1
*	7827
NM_007310.3	439
