contig 	 read_length
NM_001199975.3	433
NM_006294.5	1
NM_001254752.2	1
NR_045639.2	1
NM_001244644.2	785
NM_014043.4	1
NM_001244644.2	224
NM_014043.4	1
*	606
NM_206949.3	747
NM_145249.3	1
NM_206949.3	63
NM_001667.4	1099
NM_001199745.2	1
NM_001278489.2	937
NM_014042.3	1
NM_001278485.2	1
NM_001278487.2	1
NM_001278486.2	1
NM_001278488.2	1
NR_157587.1	1456
NM_001317078.3	1
NM_170679.3	1837
NM_006930.4	1
NM_170679.3	640
NM_002853.4	997
NR_026591.2	1
NM_001002247.2	381
NM_001289416.1	1
NM_001002249.2	1
NM_001289414.1	1
NM_001002244.2	1
NM_001002246.2	1
NM_000981.4	900
NM_001330200.1	1
NM_000981.4	779
NM_001330200.1	1
NM_003461.5	2725
NM_001362783.2	1
NM_001010972.2	1
NM_001010972.2	228
NM_003461.5	1
NM_001362783.2	1
NM_001382346.1	1363
NR_157279.2	1
NM_001304797.2	1
NM_024821.5	1
NM_000967.4	1477
NM_001033853.2	1
*	3228
NM_001145199.2	1407
NM_016406.4	1032
NM_002489.4	624
NM_016139.4	794
NM_001320327.2	1
NM_002391.6	911
NM_001012334.2	1
NM_001270550.1	1
NM_001012333.3	1
NM_001270551.3	1
NR_073039.3	1
NM_002952.4	968
NM_080426.4	1672
NM_001309840.2	1
NM_001077488.5	1
NM_001077489.4	1
NM_016592.5	1
NM_000516.7	1
NM_006817.4	1877
NM_001034025.2	1
NM_006817.4	520
NR_027451.1	561
NM_000291.4	4685
NM_000291.4	857
NM_017922.4	431
NM_001300860.2	5746
NM_014829.4	1
NR_125341.2	1
NM_001300860.2	1302
NR_125341.2	1
NM_014829.4	1
NM_001321693.2	748
NM_001321694.2	1
NM_001207069.2	1
NM_001207067.2	1
NM_001321691.2	1
NM_001321688.2	1
*	3284
NM_002952.4	957
NM_001330200.1	419
NM_000981.4	1
NM_000967.4	1113
NM_001033853.2	1
NM_001033853.2	448
NM_000967.4	1
NM_022165.3	1234
NM_001308419.2	1
NM_022165.3	131
NM_001308419.2	1
NM_001190702.2	562
NM_020169.4	1168
*	310
NM_152682.4	2503
NM_001307922.2	1
NM_033215.5	859
NM_001184745.2	1
NM_001289394.2	158
NM_001098418.1	116
NM_001098406.2	1
NM_001098413.3	1
NM_001098406.2	113
NM_001354422.1	1
NM_001127200.3	1
NM_001304533.3	133
NM_000990.5	657
NM_032228.6	398
NM_001287594.3	207
NM_001287593.1	1
NM_001288.5	1
NM_021104.2	923
NM_001350578.2	1
NM_001350575.2	1
NM_001035267.2	1
NM_021104.2	383
NM_001035267.2	1
NM_001350578.2	1
NM_021109.4	1085
NM_022551.3	612
NM_025029.5	734
NM_001330282.2	1
NM_177533.5	904
NM_001271904.1	1827
NM_001271905.2	1
NM_016472.5	1
NM_001271906.2	1
NM_001271905.2	798
NM_016472.5	1
NM_001271906.2	1
*	1575
NM_000976.4	1219
NM_000976.4	511
NM_005566.4	1847
NM_001165414.2	1
NM_001165416.2	1
NR_028500.2	1
NM_001135239.2	1
NM_001165415.2	1
NM_006713.4	1038
*	1544
NM_000661.5	1173
NM_001024921.4	1
NM_001024921.4	232
NM_000661.5	1
NM_012094.5	1395
NM_001358516.2	1
NM_181651.3	1
NM_012094.5	134
NM_181651.3	1
NM_001358516.2	1
NM_017670.3	1278
NR_003089.2	1
NM_022551.3	991
NM_022551.3	162
*	1983
NM_001005.5	943
NM_001260506.2	1
NM_001256802.2	1
*	1196
NM_000981.4	805
NM_001330200.1	1
NM_001190470.2	874
NM_001190702.2	1
NM_021104.2	990
NM_001350575.2	1
NM_001350578.2	1
NM_001035267.2	1
NM_006830.4	475
NM_012423.4	2459
NR_073024.2	1
NM_001270491.2	1
NM_012423.4	1063
NR_073024.2	1
NM_001270491.2	1
NM_001330200.1	745
NM_000981.4	1
NM_000981.4	238
NM_001330200.1	1
NM_001330200.1	587
NM_000981.4	1
NM_000801.5	1627
NM_001199786.1	1
NM_005324.5	1615
NM_005324.5	649
NM_000991.5	763
NM_001136134.1	1
NM_001136135.2	128
NM_001363697.1	1
NM_000991.5	1
NM_001136134.1	1
*	1644
NM_001017963.3	787
NM_005348.4	1
NM_005348.4	211
NM_001017963.3	1
NR_144512.1	501
NR_144513.1	1
NM_203341.3	1
NM_004261.5	1
*	538
NM_058186.4	1612
NM_206964.2	1
NM_003404.5	1432
NM_139323.4	1
NM_139323.4	316
NM_003404.5	1
NM_007100.4	432
NM_005348.4	1454
NM_001017963.3	1
NM_001017963.3	561
NM_005348.4	1
NR_159993.1	693
NM_000997.5	1
NM_001317033.2	1757
NM_182513.3	1
NM_001317031.1	1
NM_001317031.1	509
NM_001317033.2	1
NM_182513.3	1
NM_003299.3	2128
*	447
*	1673
NM_006979.3	2653
NM_001077516.2	1
NM_006408.4	390
NM_001283.5	1601
NM_001283.5	350
NM_001281776.3	2019
NM_001281775.3	1
NM_183047.4	1
NM_001281780.3	1
NM_001281783.3	1
NM_001281779.3	1
NM_001349485.2	1230
NM_001349486.2	1
NM_173685.4	1
NR_146191.2	1
NM_000981.4	766
NM_001330200.1	1
NM_003329.4	993
NM_000967.4	418
NM_001033853.2	1
NM_005079.4	2025
NR_170693.1	1
NR_170694.1	1
NR_105035.2	1
NM_001025253.3	1
NM_001287144.2	1
NM_001317804.2	176
NM_001317805.2	1
NM_014294.6	1
NM_001005.5	1377
NM_001260506.2	1
NM_001256802.2	1
NM_203403.2	1209
NM_203403.2	370
NM_016065.4	386
NM_015710.5	1515
NM_023039.5	2696
NM_001330200.1	1293
NM_000981.4	1
*	333
NM_203341.3	1485
NM_004261.5	1
NR_144512.1	1
NR_144513.1	1
NM_006830.4	475
NM_004074.3	474
NM_002804.5	1435
NR_024484.1	4449
NR_024484.1	1412
NM_001190702.2	433
NM_001190470.2	1
NM_001008541.1	1607
NM_005962.5	1
NM_130439.3	1
NM_005962.5	558
NM_001008541.1	1
NM_130439.3	1
NM_000978.4	760
NM_000978.4	215
NM_006663.4	964
NM_001142502.2	1
*	488
NM_006294.5	606
NM_001254752.2	1
NR_045639.2	1
NM_001199975.3	1
NM_001330125.1	2841
NM_014232.3	1
NM_001330125.1	937
NM_014232.3	1
NM_005998.5	3626
NR_036564.2	1
NR_036565.2	1
NM_001008800.3	1
NR_036565.2	1449
NR_036564.2	1
NM_005998.5	1
*	3016
NM_001190702.2	1932
NM_001347219.2	709
NM_017883.6	1
NM_001347217.2	1
NM_001166426.3	1
NR_029427.3	1
NM_017883.6	141
NR_029427.3	1
NM_006431.3	484
NM_001198842.2	1
*	1597
NM_000949.7	4552
NM_000949.7	2118
NM_001204314.2	1
NM_001204314.2	1
NM_000661.5	1334
NM_001024921.4	1
NM_005617.4	850
NM_001025071.2	1
NM_001025070.2	1
NM_019082.4	1304
NM_001257189.2	1
NM_001206427.2	1242
NM_001206427.2	448
NM_002810.4	1543
NM_001330692.2	1
NM_000977.4	1200
NM_033251.2	1
NM_001243131.1	1
*	809
NM_001113207.2	322
NM_001113206.2	1
NM_001113205.2	1
NM_003365.3	1837
NM_003365.3	715
NR_133653.2	591
NM_020387.4	1
NR_133653.2	178
NM_020387.4	1
NM_003329.4	1218
NM_001244938.2	1
NM_003329.4	382
NM_007263.4	612
NM_001330469.2	1
NM_199444.2	1
NM_199442.2	1
NM_001330200.1	462
NM_000981.4	1
NM_001014.5	715
NM_001204091.2	1
NM_001203245.3	1
NM_021130.5	806
NM_001300981.2	1
NM_000971.4	928
NM_001363737.2	1
NM_000981.4	1060
NM_001330200.1	1
NM_015399.4	1674
NM_001024957.2	1
NM_006098.5	1165
NM_001035006.5	1163
NM_001199341.3	1
NM_001199344.3	1
NM_001199343.3	1
NM_001199340.2	1
NM_001369555.1	1
NM_000978.4	447
NM_030930.4	2003
NM_005556.4	1300
NM_004553.6	620
NM_001537.4	1000
NM_033301.3	921
NM_001317782.2	1
NM_000973.5	1
NM_001317771.2	1
*	702
NM_001483.3	1962
NM_001202469.2	1
NM_001021.6	905
NR_111943.2	1
NR_111944.3	1
NM_000971.4	927
NM_001363737.2	1
NM_001012991.3	2893
NM_001348527.2	1
NM_001348530.2	1
NM_001348528.2	1
NM_001348531.2	1
NM_001348529.2	1
NM_001348528.2	1111
NM_005614.4	1229
NM_058173.3	674
NM_058173.3	198
NR_073435.2	421
NM_003794.4	1
NM_021104.2	974
NM_001350578.2	1
NM_001350575.2	1
NM_001035267.2	1
NM_021104.2	210
NM_001035267.2	1
NM_003134.6	824
NM_001309434.1	1
NM_000976.4	542
NM_005340.7	1179
NR_024611.3	1
NR_024610.3	1
NR_134494.2	1
NR_073488.2	1
NR_134495.2	1
NM_005340.7	480
*	2715
NM_170679.3	1483
NM_006930.4	1
NM_170679.3	426
NM_021134.4	700
NM_203495.4	780
NM_203497.4	1
NM_001287393.2	1
NM_001287394.2	1
NM_001287392.2	1
NM_001319098.2	1213
NM_006554.5	1
NM_001319097.2	1
NM_001006635.3	1
NR_037602.1	938
NR_037600.1	1
NR_037601.1	1
NM_000981.4	1261
NM_001330200.1	1
NM_000978.4	566
NM_002952.4	974
NM_001253794.2	548
NM_001253793.2	1
NM_001253791.1	1
NM_001253793.2	91
NM_001253790.1	1
NM_001253791.1	1
NM_001253794.2	1
NM_001320193.2	1163
NM_001113201.3	1
NM_001113202.2	1
NM_005594.6	1
NM_001365896.1	1
NM_001113203.3	1
NM_021009.7	390
NM_018048.5	1522
NR_135120.2	1
NM_001319985.2	1
NM_001300739.2	1
NM_018048.5	574
NM_001300739.2	1
NR_135121.2	1
NM_006107.4	907
NM_001330330.2	1
NM_016424.5	1
NM_001039802.2	566
NM_001791.4	1
NM_001025248.2	1204
NM_001025249.1	1
NM_001948.4	1
NM_001330286.2	1
NM_001309434.1	439
NM_003134.6	1
NM_001030009.2	971
NM_001019.5	1
NM_001030009.2	346
NM_001019.5	1
NM_001318870.2	462
NM_181305.3	1
NM_181306.3	1
NM_180982.3	1
NM_178336.3	1
NM_181304.3	1
NM_006636.4	2020
NR_027405.2	1
NM_030969.5	1657
NM_001286484.2	1
NM_001127711.3	1
NM_001127711.3	562
NM_030969.5	1
NM_001286484.2	1
NR_104454.1	1
NM_030938.5	1468
NM_001329395.2	1
NM_001329397.2	1
NM_001329399.2	1
NM_001329401.2	1
NM_001329400.2	1
NM_001329396.2	131
NM_000146.4	218
NM_021170.4	459
NM_001142467.2	1
NM_001293187.2	1227
NM_001293186.2	1
NM_014168.4	1
NM_024939.3	6433
NM_001365264.1	1
NM_001365265.1	1
NM_024939.3	3006
NM_001365264.1	1
NM_001365265.1	1
NM_001030.6	565
NM_001349946.2	1
NM_001349947.2	1
NM_003107.3	3594
NM_003107.3	1200
NM_176812.5	1268
NM_014166.4	1510
NM_001270629.2	1
NM_002797.5	1082
NM_001144932.3	1
NM_001130725.1	1
NM_001035267.2	452
NM_021104.2	1
NM_001350578.2	1
NM_001350575.2	1
*	1286
NM_002938.5	4901
NM_001185009.3	1
NM_001185010.3	1
NM_001185009.3	439
NM_002938.5	1
NM_001185010.3	1
NM_006413.5	1007
NM_001104546.2	1
NM_001160148.2	3504
NM_030637.3	1
NM_001160147.2	1
NM_015693.4	1
NM_001001921.2	1
NR_034022.1	1
NM_003134.6	1259
NM_001309434.1	1
NM_001309434.1	124
NM_003134.6	1
NM_021109.4	662
NM_005347.5	2385
NM_021130.5	1200
NM_001300981.2	1
NR_149148.2	1508
NR_149147.2	1
NM_001355003.2	1
NM_001355004.2	1
NM_138425.4	693
NM_001301838.2	1
NM_001301834.1	1
NM_001301836.2	1
NM_021104.2	877
NM_001035267.2	1
NM_001350575.2	1
NM_001350578.2	1
NM_001035267.2	247
NM_021104.2	1
NM_021109.4	1394
NM_021109.4	539
NM_002136.4	1881
NM_031157.4	1
NM_001022.4	620
NM_001321484.2	1
NM_001321483.2	1
NM_001321485.2	1
NM_005617.4	991
NM_001025071.2	1
NM_001025070.2	1
NM_005617.4	227
NM_001025071.2	1
NM_001025070.2	1
NM_001834.5	1135
NM_007097.5	1
NR_045724.2	1
NM_001364126.3	1
NR_157088.2	1
NM_006292.4	2592
NM_006292.4	1123
NM_001136498.2	780
*	167
NM_001289188.2	3189
NM_001289189.2	1
NM_001289191.2	1
NM_001289190.2	1
NM_001289192.2	1
NM_018675.3	1
NM_018675.3	455
NM_001330200.1	657
NM_000981.4	1
*	1570
NR_028383.2	953
NR_160400.1	1
NM_001142277.2	3306
NM_001382535.1	1
NM_001328682.2	1
NM_001142276.2	1
NM_001243299.2	1
NM_001382534.1	1
NR_024515.2	141
NR_109815.1	1115
NM_001030.6	410
NM_001349946.2	1
NM_001349947.2	1
NM_032824.3	1196
NM_001329914.2	1
NM_001280787.1	1109
NM_003172.4	1
NM_006978.3	1347
NM_001021.6	1057
NR_111944.3	1
NR_111943.2	1
NR_111943.2	388
NM_001021.6	1
NR_111944.3	1
NM_013995.2	1607
NM_021130.5	749
NM_001300981.2	1
NM_002809.4	2104
NM_002952.4	1018
NM_175744.5	516
NM_001042678.2	1
NM_001042679.2	1
NM_006082.3	259
NM_001011.4	1150
NM_001113201.3	1147
NM_001113202.2	1
NM_001320193.2	1
NM_005594.6	1
NM_001365896.1	1
NM_001113203.3	1
NM_005262.3	291
NM_000101.4	340
NM_000100.4	1153
NM_000100.4	85
NM_001013.4	862
NR_135763.2	1
NM_001321701.2	1
NM_001321702.2	1
NR_135762.2	1
NM_001321704.2	1
NM_001256293.2	1556
NM_002273.4	1
NR_045962.2	1
NM_001256282.2	1
NM_001256282.2	693
NM_001256293.2	1
NM_002273.4	1
*	330
NM_007278.2	907
NM_001320902.2	446
NM_001320904.2	1
NM_012145.4	1
NM_001165031.2	1
NR_135492.2	1
NR_033255.2	1
NM_002391.6	1045
NM_001270550.1	1
NM_001012334.2	1
NM_001012333.3	1
NM_001270551.3	1
NR_073039.3	1
NM_000989.4	342
NM_019848.5	2090
NM_001142392.3	1
NM_001142391.3	1
NM_031314.3	352
NM_001077442.2	1
NM_001077443.2	1
NM_004500.4	1
NM_138418.4	941
NR_138608.2	1
NR_138604.2	1
NM_001331229.2	1
NM_001153663.1	1996
NM_001153585.1	1
NM_001153635.1	1
NM_001153690.1	1
NM_001153552.2	1
NM_032547.3	1
NM_000978.4	757
NM_000978.4	180
NM_004546.3	445
NM_000981.4	1075
NM_001330200.1	1
NM_002266.4	2071
NM_001320611.2	1
NM_000981.4	907
NM_001330200.1	1
NM_000981.4	133
NM_001330200.1	1
NM_004182.4	642
NM_153477.3	1
NR_045560.2	1
NM_173809.5	1305
NM_001282438.1	1
NM_001282437.2	1
NM_001001342.2	1
NM_001282439.2	1
NM_001282436.2	1
NM_001135694.2	207
NM_005662.7	1
*	541
NM_014402.5	453
NM_021109.4	1246
NM_021109.4	538
NM_016047.4	276
NM_001319232.2	443
NM_001319236.2	1
NM_000995.5	1
NM_001319234.1	1
NM_001319235.2	1
NM_033625.4	1
NM_003225.3	582
NR_037669.2	1816
NM_024051.4	1
NM_001199817.2	1
NM_001199815.2	1
NM_001199816.2	1
NR_037669.2	496
NM_001199817.2	1
NM_002128.7	240
NM_001313892.2	1
NM_001370339.1	1
NM_001370340.1	1
NM_001313893.1	1
NM_001363661.2	1
NM_001142798.3	907
NM_174893.4	1
NR_037717.1	1
NM_001142799.3	1
NM_145297.4	1248
NM_024320.4	1627
NM_207660.4	3155
NM_001326298.2	1
NM_001326303.2	1
NM_001326299.2	1
NM_001326295.2	1
NR_136936.2	1
NM_145241.5	1056
NM_001012361.4	1
NR_134677.2	1
NM_001006615.3	1
NM_001012361.4	128
NR_134677.2	1
NM_145241.5	1
NM_018396.3	1820
NR_027454.2	387
NM_002358.4	2328
NM_014051.4	727
NM_000146.4	1627
NM_000146.4	694
NM_001022.4	691
NM_001321485.2	1
NM_001321484.2	1
NM_001321483.2	1
NM_001033088.3	1713
NR_028052.1	1
NM_001033088.3	491
NR_028052.1	1
NM_001367828.2	515
NM_198082.4	1
NM_003707.3	1833
NM_001319084.2	1
NM_001017998.4	2285
NM_001198664.2	1
NM_004125.4	1
NM_001017998.4	994
NM_001198664.2	1
NM_004125.4	1
NM_000980.4	698
NM_001195218.1	692
NM_016286.4	1
NM_001195218.1	231
NM_016286.4	1
NM_001997.5	685
NM_022489.4	1130
NM_001031714.4	1
NM_001272051.2	773
NM_001270952.2	1485
NM_006002.5	1
NM_001199917.2	459
NM_001385858.1	1
NM_001385859.1	1
NM_015018.4	1
NR_169790.1	1
NM_001385861.1	1
NM_001278290.2	2732
NM_001362776.2	1
NM_001371211.1	1
NM_032924.5	1
NM_001318135.2	1
NM_001371214.1	1
NM_001281717.1	324
NM_001281719.1	1
NM_001281718.1	1
NM_001281716.2	1
NM_001281720.2	1
NM_018955.4	1
NM_021970.4	2507
NM_001243736.1	1
NR_024170.1	1
NM_021970.4	868
NR_024170.1	1
NM_001243736.1	1
NM_014180.4	802
NM_001003395.3	1217
NM_003287.4	1
NM_001318903.2	1
NM_001300994.3	1
NM_001003396.3	1
NM_001003397.3	1
NM_001003395.3	359
*	390
NM_006109.5	2404
NM_001039619.3	1
NM_001282955.2	1
NM_001282953.2	1
NM_001282954.2	1
NM_006870.4	2493
NM_001011546.2	1
NM_001011546.2	97
NM_006870.4	1
NM_018339.6	1896
NM_018339.6	657
NM_001330990.2	1037
NM_014966.4	1
NM_138615.3	1
NM_001379045.1	584
NM_001379043.1	1
NR_002315.1	1
NM_001379047.1	1
NM_001379046.1	1
NM_002107.7	1
NM_001291738.1	1421
NM_001359084.1	1
NR_117090.1	1
NR_117089.1	1
NM_013230.3	1
NM_001291737.1	1
NM_001009894.3	510
NM_001009894.3	173
NM_001374284.1	999
NM_001002755.4	1
NM_015700.4	1
NM_001190487.2	596
NM_001190702.2	1
NM_001190452.2	1
NM_001190708.2	1
NM_024941.4	2568
NM_001093755.2	1
NM_001093756.2	1
NM_001243737.2	1
NM_001365343.1	1
NM_001365342.1	1
NM_001093756.2	689
NM_003094.4	817
NM_001304464.2	1
NM_001328637.2	1
NR_130746.2	1
NM_001328638.2	1
NM_001304464.2	238
NM_001328637.2	1
NM_002948.5	1266
NM_001253383.3	1
NM_001253380.2	1
NM_001253379.2	1
NM_001253382.2	1
NM_001253380.2	235
NM_001253383.3	1
NM_004493.3	1183
NM_001037811.2	1
NM_001127196.2	1634
NM_001127195.2	1
NM_001127194.2	1
NM_003418.5	1
NM_001127193.2	1
NM_001127192.2	1
NM_014624.4	751
NM_014624.4	105
NM_005729.4	2195
NM_001009.4	355
NM_006745.5	493
NM_001017369.3	1
NM_144772.3	1179
NM_001568.3	1571
NM_012477.4	1257
NR_037849.1	1
NR_002315.1	1602
NM_001379047.1	1
NM_002107.7	1
NM_001379046.1	1
NM_001379043.1	1
NM_001379045.1	1
NM_053275.4	1888
NM_001002.4	1
NM_053275.4	454
NM_001002.4	1
NM_001308963.2	610
NR_110454.2	1
NR_034106.3	1
NR_110453.2	1
NR_034105.4	1
NR_103871.2	902
NR_103870.2	1
NM_005399.5	1
NM_005399.5	307
NR_103870.2	1
NR_103871.2	1
NM_012322.3	3461
NR_024466.2	1
NM_001139499.2	1
NM_001130710.2	1
NM_001970.5	500
NM_001370420.1	1
NM_001143761.1	1
NM_001370421.1	1
NM_001143762.2	1
NM_001143760.1	1
NM_001282568.2	3532
NM_001282570.2	1
NM_016505.4	1
NM_001282566.2	1
NM_001282569.2	1
NM_001282567.2	1
NM_001282574.2	1150
NM_152609.3	1511
NM_152609.3	163
NM_002489.4	1054
NR_003038.2	1818
NR_003038.2	366
NM_004541.4	543
NM_004541.4	137
NM_003329.4	947
NM_003329.4	444
NM_032268.5	887
NR_104032.2	818
NM_001382365.1	1
NM_001382367.1	1
NM_014183.4	1
NM_001382366.1	1
NR_168138.1	1
NM_007274.4	1848
NM_181866.3	1
NM_181864.3	1
NM_181865.3	1
NM_007274.4	111
NM_006554.5	1220
NM_001006635.3	1
NM_001319097.2	1
NM_001319098.2	1
NM_001166103.2	1268
NM_021102.4	1
NM_004074.3	490
*	453
NM_002792.4	1426
NM_002792.4	255
NM_002792.4	259
*	378
NM_005340.7	936
NR_024611.3	1
NR_024610.3	1
NR_134495.2	1
NR_073488.2	1
NR_134494.2	1
NM_001190470.2	1465
NM_001190702.2	1
NM_001190470.2	573
NM_000990.5	597
NM_001006.5	1426
NM_018845.4	1315
NM_001287587.2	1
NM_001122837.2	1
NM_001287590.2	1
NM_001287586.2	1
NM_001287591.2	1
NM_024571.4	1001
NM_002966.3	521
NM_000968.4	403
NM_001136498.2	773
NM_022044.3	839
NM_001799.4	2434
NM_001324075.2	1
NM_001324069.2	1
NM_001324074.2	1
NM_001324078.2	1
